Media,Judul,Tanggal,Reporter,Isi
id.tradingview.com,,,,
beritaja.com,,,,
rumahbicara.com,,,,
lampung.antaranews.com,,,,
stockreview.id,,,,
phocuswire.com,,,,
kalsel.antaranews.com,,,,
indonesiatripnews.com,,,,
balipost.com,,,,
en.antaranews.com,,,,
voi.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
jurnalflores.co.id,,,,
kemenparekraf.go.id,,,,
analisadaily.com,,,,
riau.antaranews.com,,,,
poskota.co,,,,
mindcommonline.com,,,,
andalannews.com,,,,
paradiso.co.id,,,,
eventguide.id,,,,
ketiknews.id,,,,
sinarharapan.net,,,,
ketikpos.com,,,,
linekhatulistiwa.com,,,,
wartaevent.com,,,,
okezone.com,,,,
dradioqu.com,,,,
heibogor.com,,,,
ideatimes.id,,,,
republiknews.co.id,,,,
technologue.id,,,,
detakjateng.com,,,,
Warta Bali,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
redaksisatu.co.id,,,,
kabarcepu.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
jnewsonline.com,,,,
ayojakarta.com,,,,
kompasiana.com,,,,
juaranews.com,,,,
manado.tribunnews.com,h1.read__title,div.read__info__date,div.read__info__author,article[class='read__content clearfix']
ayobandung.com,,,,
validnews.id,,,,
mobitekno.com,,,,
lampung.tribunnews.com,,,,
depok.hallo.id,,,,
mediusnews.com,,,,
tvonenews.com,,,,
databoks.katadata.co.id,,,,
jogjapolitan.harianjogja.com,,,,
bangkokpost.com,,,,
detiknews.co.id,,,,
depokrayanews.com,,,,
metroterkini.com,,,,
riaumandiri.co,,,,
gaungriau.com,,,,
riau.harianhaluan.com,,,,
riauberdaulat.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
wartadepok.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
riauone.com,,,,
berita.depok.go.id,,,,
pagaralampos.disway.id,h1,div.text-cnn_grey,,div.detail-text.text-cnn_black.text-sm.grow.min-w-0
adatah.com,,,,
lampung.jpnn.com,,,,
purwokerto.inews.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
jurnalsoreang.pikiran-rakyat.com,,,,
beritadiy.pikiran-rakyat.com,,,,
tempo.co,h1,span.date_detail,span.read_contributor,article.read__content.clearfix
radarbali.jawapos.com,h2,h6.fs-7.lh-1.m-0.text-muted,a.text-muted,div.article-post.fs-5.text-break
lampung.wahananews.co,h1,span.date_detail,span.read_contributor,article.read__content.clearfix
jurnalintelijen.net,,,,
bengkulunews.co.id,h1.read__title,div.read__info__date,div.read__info__author,article.read__content.clearfix
fokusmuria.co.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
digination.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
cobisnis.com,h1.read__title,div.read__time,div.credit-title-name,div.read__content
hmstimes.com,,,,
suaramerdeka.com,h1,div.flex.my-auto.ml-4.text-xs.font-semibold,div.flex.my-auto.ml-4.text-xs.font-semibold,div.detail-article
klikaktual.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
infomase.id,"h1[id=""arttitle""]",time,div.credit,div.txt-article
radarmukomuko.disway.id,,,,
jatim.tribunnews.com,,,,
beritasenator.com,,,,
suara-pembaruan.com,,,,
thestar.com.my,"h1[id=""arttitle""]",time,div.credit,div.txt-article
beritakini.biz,,,,
marketing-interactive.com,,,,
batampos.jawapos.com,,,,
portaljogja.pikiran-rakyat.com,,,,
suarapembaharuan.com,,,,
iarfcindonesia.com,,,,
momsmoney.id,,,,
bali.tribunnews.com,h1.detail__title,div.detail__date,div.detail__author,div.detail__body-text.itp_bodycontent
sultra.genpi.co,,,,
sulsel.genpi.co,,,,
katalogpromosi.com,,,,
inews.id,,,,
skanaa.com,,,,
nakita.grid.id,,,,
tirto.id,,,,
kanal9.id,,,,
indienesia.id,,,,
fame.grid.id,,,,
cilacap.pikiran-rakyat.com,,,,
portalutama.com,,,,
selerabangsa.com,h1,time,div.css-11ocds2,
kabinetrakyat.com,,,,
kabarwarga.com,,,,
teknologia.co,,,,
topsumbar.co.id,,,,
hops.id,h1.read-page--header--title.entry-title,span.read-page-box__author__updated,a.read-page-box__author__name,div.article-content-body__item-content
rilis.id,,,,
jateng.idntimes.com,,,,
jakarta.tribunnews.com,,,,
jateng.genpi.co,,,,
luarbiasa.id,,,,
koranmemo.com,,,,
elbaitsukabumi.com,,,,
gayo.tribunnews.com,,,,
terpantau.com,,,,
tribunsorong.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
dialogindonesia.com,,,,
mojok.co,,,,
sukoharjo.pikiran-rakyat.com,,,,
bogor.tribunnews.com,,,,
priangantimurnews.pikiran-rakyat.com,,,,
depok.urbanjabar.com,,,,
pasundanekspres.co,,,,
banten.antaranews.com,,,,
kabar6.com,,,,
bali.antaranews.com,,,,
kalteng.antaranews.com,,,,
kaltara.antaranews.com,,,,
jabar.antaranews.com,,,,
kupang.antaranews.com,,,,
manado.antaranews.com,,,,
makassar.antaranews.com,,,,
sultra.antaranews.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
sumut.antaranews.com,,,,
jatim.antaranews.com,,,,
papuabarat.antaranews.com,,,,
gorontalo.antaranews.com,"h1[id=""arttitle""]",time,div.credit,div.txt-article
kaltim.antaranews.com,,,,
babel.antaranews.com,h1.main-content-title,div.main-content-date,div.main-content-author,div.main-content-detail
kalbar.antaranews.com,,,,
jambi.antaranews.com,h1.read__title,div.read__info__date,div.read__info__author,div.read__content.clearfix
mantrasukabumi.pikiran-rakyat.com,,,,
tugujatim.id,,,,
jatimhariini.com,,,,
sumedang.jabarekspres.com,,,,
liputanberitaku.com,,,,
jatimnetwork.com,,,,
tagar.id,,,,
telset.id,,,,
suarahalmahera.pikiran-rakyat.com,,,,
mediaasuransinews.co.id,,,,
madura.live,,,,
indonesia.jakartadaily.id,,,,
hypeabis.id,,,,
surabaya.tribunnews.com,,,,
lensakepri.com,,,,
mix.co.id,,,,
jabar.idntimes.com,,,,
kalbarnews.co.id,,,,
visi.news,,,,
id.prnasia.com,,,,
en.prnasia.com,,,,
fintechnesia.com,,,,
iqfin.net,,,,
youngster.id,,,,
krjogja.com,,,,
papua.antaranews.com,,,,
bengkulu.antaranews.com,,,,
aceh.antaranews.com,,,,
indotelko.com,,,,
indiekraf.com,,,,
spills.co.id,,,,
ipol.id,,,,
kendariinfo.com,,,,
hariansinggalang.co.id,,,,
kabarindong.com,,,,
kepri.antaranews.com,,,,
borneo24.com,,,,
malukuterkini.com,,,,
jurnalpagi.com,,,,
infobrand.id,,,,
metapos.id,,,,
sultra.tribunnews.com,,,,
nomorsatukaltim.com,h1,div.date-article,div.writer,article.detail-content
infokubar.id,,,,
saluranmedia.com,,,,
kapanlagi.com,,,,
ayosemarang.com,,,,
fimela.com,,,,
temposiana.com,,,,
buzzfeed.co.id,,,,
marketech-apac.com,,,,
suarakalimantan.com,,,,
metrorakyat.com,,,,
sleman.pikiran-rakyat.com,,,,
surabayapagi.com,,,,
halojabar.com,,,,
jurnalmakassar.pikiran-rakyat.com,,,,
goodnewsfromindonesia.id,,,,
kaltimpost.jawapos.com,,,,
kaltim.prokal.co,,,,
suaraindonesia.co.id,,,,
jateng.news,,,,
prokal.co,,,,
jatim.genpi.co,,,,
palu.tribunnews.com,,,,
penasultra.id,,,,
bantenraya.com,,,,
dagangberita.com,,,,
bonepos.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
era.id,,,,
1news.my.id,,,,
waspada.co.id,,,,
sudutpandang.id,,,,
propertiterkini.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
asrinesia.com,,,,
theiconomics.com,,,,
tangerangekspres.co.id,,,,
trendsetter.id,,,,
jalantikus.com,,,,
kalbarterkini.pikiran-rakyat.com,,,,
pilar.id,,,,
sultengraya.com,,,,
lingkarberita.com,,,,
harianaceh.co.id,,,,
bandunginsider.com,,,,
infoindonesia.id,,,,
matafakta.com,,,,
jatim.times.co.id,,,,
timesindonesia.co.id,,,,
surabayapost.id,,,,
pointsgeek.id,,,,
inilah.com,,,,
jawapos.com,,,,
infobanknews.com,,,,
mnctrijaya.com,,,,
infokomputer.grid.id,,,,
grid.id,,,,
caritau.com,,,,
denpasar.kompas.com,,,,
jogja.tribunnews.com,,,,
beritasatu.com,,,,
finance.wartaekonomi.co.id,,,,
radioharbos.blogspot.com,,,,
faktualid.com,,,,
nusaweek.com,,,,
wartadaerah.com,,,,
bizlaw.id,,,,
antarafoto.com,,,,
infobandungkota.com,,,,
prfmnews.com,,,,
utaratoday.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
westjavatoday.com,,,,
urbanjabar.com,,,,
kliknusae.com,,,,
tangselpos.id,,,,
inilahkendari.com,,,,
radarbromo.jawapos.com,,,,
indonesiastreet.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
gemapos.id,,,,
suarasurabaya.net,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
portalsidoarjo.com,,,,
megapolitan.antaranews.com,,,,
koran-gala.id,,,,
jogja.antaranews.com,,,,
malangposcomedia.id,,,,
gokepri.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
indonesiatelegraph.com,,,,
suaraindo.com,,,,
updatebali.com,,,,
pastrynbakery.com,,,,
marketeers.com,,,,
pressrelease.kontan.co.id,,,,
ajangberita.web.id,,,,
asia.nikkei.com,,,,
bali.times.co.id,,,,
mitrapol.com,,,,
lintasnews5terkini.com,,,,
jakartanews.id,,,,
demokratis.co.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
jitunews.com,,,,
mediaindopos.com,,,,
olnewsindonesia.com,,,,
daelpos.com,,,,
beritajakarta.id,,,,
tarungnews.com,,,,
harnas.id,,,,
wahananews.co,,,,
jurnalpatrolinews.co.id,,,,
harian.disway.id,,,,
rri.co.id,,,,
konstruksimedia.co.id,,,,
bisnispro.id,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
nawacitapost.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
banyuwangi.times.co.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
klikwarta.com,,,,
jakarta.times.co.id,,,,
karawang.times.co.id,,,,
askara.co,,,,
harianrakyat.com,,,,
reaksimedia.com,,,,
pu.go.id,,,,
surabayainsider.com,,,,
jurnas.com,,,,
beritausukabumi.com,,,,
alinea.id,,,,
posbekasi.com,,,,
integritasnews.com,,,,
prfmnews.pikiran-rakyat.com,,,,
wideazone.com,h1.tdb-title-text,time.entry-date,a.tdb-author-name,div.tdb-block-inner.td-fix-index
haloindonesia.co.id,,,,
radartasik.disway.id,,,,
